#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
68.0,Ivory Coast,8739,,64.0,,3587.0,,5088.0,,331.0,2.0,50914.0,1931.0,26364556.0,Africa,3017.0,411946.0,518.0
69.0,Malaysia,8616,+10,121.0,,8308.0,+14,187.0,2.0,266.0,4.0,739458.0,22851.0,32359920.0,Asia,3756.0,267437.0,44.0
70.0,Australia,7641,+46,104.0,,6979.0,+21,558.0,1.0,300.0,4.0,2333296.0,91517.0,25495732.0,Australia/Oceania,3337.0,245151.0,11.0
71.0,Uzbekistan,7490,+63,20.0,,5038.0,,2432.0,28.0,224.0,0.6,1121236.0,33508.0,33461668.0,Asia,4468.0,1673083.0,30.0
72.0,Finland,7198,+7,328.0,,6600.0,,270.0,1.0,1299.0,59.0,237500.0,42865.0,5540643.0,Europe,770.0,16892.0,23.0
73.0,DRC,6690,+138,153.0,+4,937.0,+37,5600.0,,75.0,2.0,,,89495791.0,Africa,13378.0,584940.0,
74.0,Senegal,6459,+105,102.0,+4,4255.0,+62,2102.0,26.0,386.0,6.0,76303.0,4560.0,16734279.0,Africa,2591.0,164062.0,219.0
75.0,North Macedonia,5906,+148,277.0,+9,2236.0,+30,3393.0,55.0,2835.0,133.0,57895.0,27789.0,2083375.0,Europe,353.0,7521.0,36.0
76.0,Kenya,5811,+278,141.0,+4,1936.0,+31,3734.0,18.0,108.0,3.0,162478.0,3023.0,53748171.0,Africa,9249.0,381193.0,331.0
77.0,Tajikistan,5799,+52,52.0,,4391.0,+60,1356.0,,608.0,5.0,,,9533413.0,Asia,1644.0,183335.0,
78.0,El Salvador,5727,+210,143.0,+10,3447.0,+156,2137.0,172.0,883.0,22.0,155301.0,23945.0,6485855.0,North America,1133.0,45356.0,42.0
